41798
<<<<<<< HEAD
</s> 1.000000
. 0.465476
, 0.432054
the 0.460721
of 0.483928
and 0.392137
a 0.453735
in 0.461612
to 0.511740
is 0.476778
for 0.444602
we 0.493688
that 0.471547
as 0.500809
on 0.503084
with 0.482896
are 0.487282
by 0.465240
this 0.502046
be 0.514150
from 0.485930
can 0.527412
an 0.499826
which 0.457543
it 0.508718
each 0.529568
or 0.495976
network 0.519954
data 0.466527
our 0.508791
not 0.569858
at 0.489911
nodes 0.541187
all 0.453163
time 0.506609
cid 0.556151
number 0.501028
have 0.532057
two 0.494660
between 0.531271
node 0.596801
if 0.519987
information 0.572194
set 0.468052
more 0.521402
such 0.521263
one 0.473258
model 0.520432
these 0.499320
where 0.456398
networks 0.562858
other 0.485115
also 0.433467
when 0.469501
has 0.558823
using 0.447117
their 0.497988
than 0.531235
algorithm 0.527280
graph 0.604198
figure 0.462230
based 0.512673
only 0.441206
then 0.451905
results 0.494517
different 0.504942
its 0.467197
use 0.453591
will 0.504719
given 0.463870
may 0.536447
used 0.479334
there 0.526684
problem 0.556334
trust 0.637988
users 0.593904
et 0.548282
system 0.494037
example 0.465937
same 0.453309
work 0.536125
they 0.520827
al 0.532268
both 0.453392
fig 0.466394
but 0.494493
over 0.484052
no 0.509660
section 0.518738
was 0.502359
how 0.554566
some 0.462533
any 0.482911
into 0.511148
however 0.460866
rst 0.424037
while 0.448962
paper 0.581249
value 0.464365
approach 0.503800
performance 0.540156
most 0.481093
table 0.442394
research 0.599001
edges 0.629421
since 0.428593
new 0.472267
show 0.511172
probability 0.504135
average 0.497050
method 0.513690
user 0.578081
size 0.514513
query 0.579776
been 0.586607
do 0.522523
methods 0.540138
following 0.420571
large 0.521338
many 0.531077
shown 0.510965
thus 0.422154
features 0.621700
models 0.540853
case 0.418742
values 0.444508
were 0.509944
process 0.489042
proposed 0.525983
about 0.552111
algorithms 0.518413
consider 0.489680
because 0.472503
pp 0.574033
similar 0.444212
analysis 0.516170
order 0.451498
study 0.555343
so 0.462939
source 0.536583
three 0.481646
shows 0.487862
well 0.487918
them 0.490382
high 0.525541
distribution 0.532103
let 0.519946
see 0.434768
within 0.489227
links 0.534863
task 0.596409
nd 0.445337
pages 0.537644
edge 0.575756
note 0.424521
under 0.554029
social 0.534926
graphs 0.620824
community 0.517901
dataset 0.547261
follows 0.495415
? 0.541651
acm 0.630173
does 0.532332
therefore 0.430488
should 0.521598
would 0.498153
through 0.486945
very 0.483767
those 0.505438
degree 0.564167
function 0.440481
among 0.494092
topic 0.609084
above 0.429428
possible 0.493619
types 0.587762
systems 0.583615
better 0.525172
dierent 0.532847
type 0.534370
event 0.604767
framework 0.550948
after 0.445779
general 0.463460
behavior 0.526144
here 0.484297
patterns 0.583338
multiple 0.525597
applications 0.571262
ieee 0.661034
result 0.445429
total 0.482357
link 0.549594
dened 0.493236
experiments 0.537494
terms 0.456143
group 0.497741
objects 0.578370
small 0.517728
could 0.498089
second 0.415498
related 0.540357
us 0.515689
communities 0.629796
provide 0.527714
authors 0.587662
best 0.491870
clustering 0.569525
important 0.543593
level 0.539627
state 0.566066
accuracy 0.540657
measure 0.519908
due 0.509450
single 0.491530
structure 0.503713
step 0.468124
proceedings 0.619566
even 0.485226
social_networks 0.618404
sources 0.658285
who 0.555544
much 0.509097
corresponding 0.456578
another 0.530147
parameters 0.536801
vol 0.664018
further 0.458136
present 0.527139
random 0.493655
cluster 0.526830
communication 0.544595
respectively 0.438425
individual 0.512378
several 0.536296
next 0.473403
cost 0.500068
twitter 0.646545
propose 0.595648
quality 0.537106
need 0.493070
events 0.577498
out 0.481490
every 0.488957
particular 0.482945
without 0.491209
control 0.567486
words 0.563411
hence 0.438150
proc 0.645529
real 0.556438
various 0.540611
dene 0.485493
threshold 0.562726
first 0.478552
datasets 0.591638
make 0.561509
observed 0.506153
top 0.522481
people 0.562731
clusters 0.508751
compute 0.494113
human 0.557341
what 0.550956
matrix 0.559476
classication 0.600044
assume 0.475621
vertices 0.715746
inuence 0.595212
found 0.470628
less 0.490968
way 0.469231
sets 0.507057
higher 0.529103
eq 0.476950
knowledge 0.593255
impact 0.558909
likely 0.555358
path 0.538294
either 0.566220
content 0.626918
positive 0.548249
across 0.515993
topics 0.630696
form 0.475875
groups 0.607169
local 0.552132
queries 0.616924
whether 0.533748
th 0.609334
available 0.541109
score 0.512695
ranking 0.644831
being 0.475710
associated 0.515158
up 0.494011
tweets 0.676864
target 0.490284
during 0.523412
good 0.508287
compared 0.509573
online 0.581721
document 0.648686
end 0.582672
prediction 0.622777
entity 0.741472
ii 0.484023
text 0.558887
context 0.529317
relation 0.513925
message 0.611413
documents 0.635065
specic 0.490463
similarity 0.551425
like 0.522884
individuals 0.599988
entities 0.605774
lower 0.522273
current 0.480402
according 0.463327
larger 0.503866
tasks 0.621613
common 0.528335
design 0.530886
change 0.526886
semantic 0.628374
social_network 0.589076
mining 0.632996
location 0.585261
often 0.560318
pairs 0.549445
learning 0.637462
previous 0.474461
cases 0.504638
search 0.567461
provides 0.529264
optimal 0.539868
obtained 0.477490
theorem 0.568014
existing 0.535276
via 0.520727
test 0.528356
vi 0.557442
approaches 0.544430
vector 0.528760
parameter 0.505910
proof 0.547067
part 0.514746
considered 0.496085
rate 0.573258
messages 0.566394
neighbors 0.595033
denote 0.526843
) 0.611143
original 0.524082
period 0.592659
true 0.570593
experiment 0.553695
least 0.533101
increases 0.535157
future 0.534122
dynamics 0.577518
generated 0.521102
nature 0.528143
weight 0.569124
( 0.650100
equation 0.489444
dynamic 0.632489
relationship 0.604320
techniques 0.569379
simple 0.503744
expected 0.496488
pattern 0.605337
distance 0.543349
solution 0.503197
times 0.510471
denition 0.482955
usa 0.685275
game 0.726932
represent 0.505609
point 0.507736
fraction 0.660303
including 0.504217
identify 0.568966
global 0.555862
before 0.492134
object 0.596121
fact 0.475886
space 0.525713
negative 0.626717
participants 0.602172
input 0.485349
wang 0.692008
now 0.459717
journal 0.648190
increase 0.531257
si 0.552556
phys 0.838566
per 0.515802
cannot 0.509870
vertex 0.698389
addition 0.442683
able 0.550395
focus 0.567322
evaluate 0.555556
maximum 0.522690
pair 0.530509
measures 0.575125
four 0.507101
observe 0.510216
contains 0.513676
relationships 0.612502
agents 0.589415
must 0.517697
low 0.541050
log 0.602670
described 0.491842
others 0.512501
instead 0.444751
computing 0.499027
class 0.564020
label 0.573059
scheme 0.526192
detection 0.582123
bound 0.589111
changes 0.565705
obtain 0.531788
news 0.757863
relations 0.607651
determine 0.534592
scores 0.557574
paths 0.619256
applied 0.536657
comparison 0.509385
take 0.528076
selected 0.533212
experimental 0.587156
xi 0.628080
key 0.485198
overall 0.478120
known 0.530129
connected 0.558218
evidence 0.522524
evaluation 0.510226
mean 0.490441
evolution 0.658831
might 0.553814
activity 0.618289
generate 0.554390
perform 0.540485
distributed 0.595092
correlation 0.580951
constraints 0.510936
sequence 0.540778
edu 0.677903
rev 0.828677
finally 0.455949
university 0.749802
decision 0.586387
represents 0.520358
opinion 0.698531
lemma 0.561359
range 0.536412
conference 0.714852
called 0.508578
properties 0.553688
sensor 0.646783
feature 0.564554
li 0.663504
interactions 0.553061
strategy 0.556956
support 0.544044
uses 0.526030
simulation 0.565880
compare 0.524920
certain 0.469817
underlying 0.589592
team 0.623779
independent 0.533955
computed 0.519628
length 0.520902
modeling 0.598817
candidate 0.590981
include 0.510223
army 0.920738
signicant 0.506694
complexity 0.549117
provided 0.535189
credibility 0.789753
application 0.547626
problems 0.565944
although 0.476569
estimate 0.566368
amount 0.544555
still 0.479293
interest 0.535825
vs 0.514221
list 0.526105
labels 0.590126
made 0.571870
get 0.483665
additional 0.512200
introduce 0.573504
variables 0.558272
novel 0.601435
subset 0.544975
improve 0.599421
wikipedia 0.632267
delay 0.672139
understanding 0.629142
together 0.496888
update 0.554920
baseline 0.573677
theory 0.578989
contact 0.561413
effect 0.542988
attributes 0.560899
presented 0.542198
observations 0.574072
directly 0.503826
few 0.554765
factors 0.648215
international_conference 0.740757
means 0.455998
new_york 0.677809
term 0.512249
components 0.532114
transactions 0.622365
requires 0.551326
received 0.594024
otherwise 0.539782
agent 0.650644
max 0.526073
setting 0.493595
instance 0.502973
person 0.583306
line 0.477253
sensors 0.671262
friends 0.668525
papers 0.723922
signicantly 0.533893
word 0.641929
goal 0.531799
along 0.522489
role 0.546663
ratio 0.560390
question 0.588818
! 0.617652
report 0.590761
predict 0.645107
smaller 0.553727
introduction 0.516839
laboratory 0.897958
collection 0.569541
computer_science 0.679099
recall 0.553185
dblp 0.708265
useful 0.587778
players 0.751606
running 0.535698
government 0.909140
complex 0.563703
sampling 0.667104
temporal 0.574994
name 0.625579
error 0.588363
respect 0.508294
author 0.713673
potential 0.521909
rather 0.526302
describe 0.551791
output 0.519961
choose 0.524524
initial 0.502580
distributions 0.561652
items 0.578254
interaction 0.583505
active 0.606806
st 0.530682
interesting 0.557525
denoted 0.516172
demonstrate 0.603188
he 0.583299
indicates 0.458792
com 0.634512
ci 0.568814
social_media 0.673648
long 0.518051
studies 0.599281
observation 0.512894
scenario 0.555916
training 0.661081
frequency 0.529178
full 0.517824
index 0.508175
help 0.564356
capture 0.570836
tree 0.586353
always 0.470550
metrics 0.597252
prior 0.582420
increasing 0.564577
concept 0.610996
relevant 0.535944
metric 0.553942
teams 0.654241
moreover 0.478465
achieve 0.563421
specically 0.429349
conclusions 0.685474
below 0.458616
last 0.505952
propagation 0.612075
allows 0.553988
steps 0.526826
unique 0.555219
hand 0.522597
critical 0.618097
answer 0.601711
conditions 0.560551
studied 0.614441
factor 0.547728
weights 0.577075
precision 0.639514
points 0.581340
percolation 0.769136
whose 0.511592
agreement 0.705797
similarly 0.427445
diffusion 0.695833
computation 0.529373
sum 0.539147
once 0.491400
limited 0.554181
collected 0.599036
strategies 0.626605
becomes 0.526911
data_mining 0.775973
effective 0.547349
slot 0.724997
processing 0.529000
xed 0.512316
sample 0.557358
apply 0.550930
levels 0.602804
largest 0.541883
component 0.581119
call 0.548323
processes 0.590862
close 0.522265
usually 0.502963
www 0.693090
decisions 0.612914
required 0.503043
matching 0.551645
area 0.593815
facebook 0.696523
traditional 0.584369
han 0.776516
inference 0.670548
directed 0.607244
rank 0.577239
questions 0.656787
science 0.682561
locations 0.626810
property 0.504985
exists 0.555770
discussed 0.514949
density 0.522714
page 0.634976
subgraph 0.563183
weighted 0.521831
representing 0.680956
efcient 0.580858
construct 0.551000
video 0.719257
select 0.556080
needs 0.538442
minimum 0.584836
until 0.531897
takes 0.550455
email 0.628109
trafc 0.601371
resulting 0.472480
difference 0.508667
ij 0.642874
actual 0.492579
routing 0.656197
review 0.623476
mobile 0.639189
assumption 0.544960
nding 0.528710
iii 0.473352
equal 0.546367
department 0.774148
basic 0.489438
share 0.608905
representation 0.580501
doi 0.673865
power 0.545689
reported 0.545483
